mutant,failcount,asrtname
95,2291,"[385, 394, 400, 402, 408, 419, 422, 429, 442, 444, 445, 447, 449, 450, 452, 455, 457, 460, 473, 475, 480]"
30,2093,"[502, 526, 542, 558, 562, 595, 618, 636, 726, 780, 781, 806, 817, 824]"
24,2093,"[502, 526, 542, 558, 562, 595, 618, 636, 726, 780, 781, 806, 817, 824]"
62,1815,"[1174, 1211, 1232, 1255, 1452, 1463, 1504, 1535, 1537]"
68,1815,"[1174, 1211, 1232, 1255, 1452, 1463, 1504, 1535, 1537]"
92,1616,"[415, 419, 428, 429, 430, 431, 432, 433, 446, 460, 468, 479, 487]"
28,1580,"[494, 498, 509, 513, 521, 604, 614, 632, 666, 793]"
43,1392,"[3, 71, 96, 98, 99, 106, 123, 155, 202, 229]"
49,1392,"[3, 71, 96, 98, 99, 106, 123, 155, 202, 229]"
46,1288,"[91, 97, 148, 163, 259, 379]"
42,1288,"[91, 97, 148, 163, 259, 379]"
87,1143,"[872, 965, 1149, 1152, 1155]"
81,1143,"[872, 965, 1149, 1152, 1155]"
84,684,"[919, 946, 998, 1122, 1124]"
80,684,"[919, 946, 998, 1122, 1124]"
65,387,"[1265, 1491]"
61,387,"[1265, 1491]"
4,230,"[419, 429, 460, 1376]"
1,209,"[419, 429, 460, 1376]"
