rst,empty,[8bits]DUT_LBDR.Rxy,[4bits]DUT_LBDR.Cx,[3bits]flit_id,[4bits]dst_addr,[4bits]DUT_LBDR.cur_addr,DUT_LBDR.Rne,DUT_LBDR.Rnw,DUT_LBDR.Ren,DUT_LBDR.Res,DUT_LBDR.Rwn,DUT_LBDR.Rws,DUT_LBDR.Rse,DUT_LBDR.Rsw,DUT_LBDR.Cn,DUT_LBDR.Ce,DUT_LBDR.Cw,DUT_LBDR.Cs,DUT_LBDR.N1,DUT_LBDR.E1,DUT_LBDR.W1,DUT_LBDR.S1,[2bits]DUT_LBDR.x_cur,[2bits]DUT_LBDR.y_cur,[2bits]DUT_LBDR.x_dst,[2bits]DUT_LBDR.y_dst Nport,Eport,Wport,Sport,Lport
0111000011111101011001110110000111111001010110011 00000
1011000011111100111001110110000111111001010110011 00000
0011000011111101011000110110000111111001110010011 00000
0011000011111101011000110110000111111001110010011 00000
1111000011111100111000110110000111111001110010011 00000
0100111100111100111000010001111001111001110000011 00000
0100111100111101011000010001111001111001110000011 00000
0000111100111100101110010001111001111010110001101 00000
1100111100111100101110010001111001111010110001101 01000
0000111100111100101011111001111001111101011110101 00000
1000111100111101001011111001111001111101011110101 00100
1111000011111101001010000110000111111010100000101 00000
1100111100111100101011110001111001111101010110101 00000
0111000011111100101010001110000111111000101000101 00000
0011000011111101001010001110000111111000101000101 00000
0111000011111100101010001110000111111000101000101 00000
0111000011111100101010001110000111111000101000101 00000
1011000011111100101010001110000111111000101000101 00000
0111000011111101001011100110000111111110000110101 00000
1011000011111101001011100110000111111110000110101 00000
1000111100111100101010000001111001111010100000101 00000
0011000011111101001011111110000111111101011110101 00000
1011000011111101001011111110000111111101011110101 00000
0011000011111101001010000110000111111010100000101 00000
1011000011111101001010000110000111111010100000101 00000
1100111100111101001010110001111001111001010010101 00000
1011000011111101001011100110000111111110000110101 00000
1000111100111100101010010001111001111001110000101 00000
0000111100111101001010110001111001111001010010101 00000
0100111100111101001010110001111001111001010010101 00000
0000111100111101001010110001111001111001010010101 00000
0000111100111100110000110001111001111001110010010 00000
1100111100111100110000110001111001111001110010010 00100
1000111100111101010001110001111001111101010110010 00000
1000111100111100110001111001111001111101011110010 00000
1011000011111101010000100110000111111000100010010 00000
1100111100111101010001011001111001111001011100010 00000
1111000011111100110000000110000111111000100000010 00000
1111000011111100110001111110000111111101011110010 00000
0100111100111101010001001001111001111001001100010 00000
1100111100111101010001001001111001111001001100010 00000
1111000011111101010000110110000111111001110010010 00000
1100111100111101010001111001111001111101011110010 00000
0100111100111101010001100001111001111100000110010 00000
0100111100111100110001100001111001111100000110010 00000
1000111100111100110001100001111001111100000110010 00000
0100111100111100110001001001111001111001001100010 00000
1000111100111100110001001001111001111001001100010 00000
0111000011111100110001000110000111111000000100010 00000
1111000011111100110001000110000111111000000100010 00000
0100111100111100110001110001111001111101010110010 00000
0000111100111100100111110001111001111110010111100 00000
1100111100111101000111110001111001111110010111100 01000
0000111100111100100100110001111001111100010011000 00000
0100111100111100100100110001111001111100010011000 10000
0100111100111100100100110001111001111100010011000 00000
0000111100111100110100110001111001111000110011010 00000
0100111100111100110100110001111001111000110011010 00010
0000111100111101010100110001111001111000110011010 00000
1000111100111100110100110001111001111000110011010 00000
1100111100111100110101111001111001111101011111010 00000
1111000011111101010100010110000111111000110001010 00000
0100111100111100110101000001111001111010000101010 00000
1000111100111100110101000001111001111010000101010 00000
1011000011111101010100100110000111111010100011010 00000
0000111100111101010100001001111001111010101001010 00000
1000111100111100110100001001111001111010101001010 00000
0111000011111100110100101110000111111010101011010 00000
0011000011111101010100101110000111111010101011010 00000
0011000011111101010100101110000111111010101011010 00000
1111000011111100110100101110000111111010101011010 00000
1111000011111101010101100110000111111110000111010 00000
1111000011111101010101000110000111111010000101010 00000
0100111100111100110101110001111001111100010111010 00000
0100111100111100110101110001111001111100010111010 00000
1100111100111101010101110001111001111100010111010 00000
0011000011111100101010100110000111111010000010101 00000
0111000011111100101010100110000111111010000010101 01000
0011000011111101001010100110000111111010000010101 00000
1111000011111100101010100110000111111010000010101 00000
1011000011111101001011110110000111111101010110101 00000
1111000011111100101011111110000111111101011110101 00000
0000111100111100101000001001111001111001101000001 00000
1000111100111100101000001001111001111001101000001 00100
0100111100111100101000000001111001111000100000001 00000
1100111100111100101000000001111001111000100000001 00000
1100111100111100101001000001111001111100000100001 00000
0100111100111100101000110001111001111001010010001 00000
1000111100111100101000110001111001111001010010001 00000
1100111100111101001000001001111001111001101000001 00000
0011000011111100111011010110000111111001110100111 00000
0011000011111100110111010110000111111010010101110 00010
0011000011111101010111010110000111111010010101110 01000
1011000011111101010111010110000111111010010101110 01000
1111000011111100110110001110000111111010101001110 00000
1111000011111101010111011110000111111000011101110 00000
1000111100111100110111100001111001111110000111110 00000
0111000011111101010111110110000111111110010111110 00000
1011000011111100110111110110000111111110010111110 00000
0011000011111100111001000110000111111000100100011 00000
1111000011111100111001000110000111111000100100011 00010
0011000011111100110011111110000111111101011110110 00000
1011000011111101010011111110000111111101011110110 10000
1111000011111100110010100110000111111010100010110 00000
1111000011111101010011111110000111111101011110110 00000
1111000011111100110010110110000111111001110010110 00000
1011000011111100110010000110000111111010100000110 00000
1111000011111101010010010110000111111001110000110 00000
0000111100111101010010110001111001111001110010110 00000
1000111100111101010010110001111001111001110010110 00000
1011000011111101010011110110000111111101010110110 00000
0111000011111101010011011110000111111001011100110 00000
1011000011111100110011011110000111111001011100110 00000
0011000011111101010011011110000111111001011100110 00000
0011000011111101010011011110000111111001011100110 00000
0011000011111101010011011110000111111001011100110 00000
0011000011111100110011011110000111111001011100110 00000
1011000011111100110011011110000111111001011100110 00100
0100111100111101010010110001111001111001110010110 00000
0000111100111100111110110001111001111010110011111 00000
1100111100111100111110110001111001111010110011111 01000
1000111100111100111110001001111001111010101001111 00000
0000111100111100101001001001111001111101001100001 00000
0100111100111100101001001001111001111101001100001 00100
0000111100111100111011001001111001111000101100111 00000
0100111100111100111011001001111001111000101100111 00010
0100111100111100111011001001111001111000101100111 00000
1100111100111100111011001001111001111000101100111 00000
1011000011111101011011111110000111111001011110111 00000
0100111100111100111011110001111001111001010110111 00000
0000111100111100111111110001111001111010010111111 00000
1000111100111100111111110001111001111010010111111 01000
0100111100111100111110001001111001111010101001111 00000
1100111100111100111110001001111001111010101001111 00000
1100111100111100111111001001111001111010101101111 00000
1111000011111100111111010110000111111010110101111 00000
0100111100111100111111000001111001111010100101111 00000
0100111100111100111111000001111001111010100101111 00000
0000111100111101011111000001111001111010100101111 00000
0000111100111100100011000001111001111110000100100 00000
0000111100111100111111000001111001111010100101111 01000
1000111100111101011111000001111001111010100101111 01000
0000111100111101011110100001111001111010100011111 00000
1100111100111101011110100001111001111010100011111 00000
1000111100111100111110101001111001111010101011111 00000
1111000011111101011111110110000111111010010111111 00000
0111000011111101011110010110000111111010110001111 00000
1111000011111100111110010110000111111010110001111 00000
1100111100111101011110011001111001111000111001111 00000
0111000011111101011111011110000111111000111101111 00000
1111000011111100111111011110000111111000111101111 00000
0100111100111100111111001001111001111010101101111 00000
0000111100111100100111001001111001111110001101100 00000
0100111100111101000111001001111001111110001101100 01000
1000111100111101000111001001111001111110001101100 00000
1111000011111101000110111110000111111100011011100 00000
0111000011111101000111000110000111111110000101100 00000
1111000011111101000111000110000111111110000101100 00000
1111000011111100100111101110000111111110001111100 00000
1111000011111101000110100110000111111110000011100 00000
1100111100111100100110010001111001111010010001100 00000
0011000011111101000111110110000111111110010111100 00000
1011000011111100100111110110000111111110010111100 00000
1100111100111101000111111001111001111100011111100 00000
0000111100111101000110010001111001111010010001100 00000
0100111100111101000110010001111001111010010001100 00000
1100111100111101000110010001111001111010010001100 00000
0111000011111100100110110110000111111110010011100 00000
1111000011111101000110110110000111111110010011100 00000
0100111100111101000110101001111001111110001011100 00000
1000111100111100100110101001111001111110001011100 00000
1111000011111101000110010110000111111010010001100 00000
1000111100111100100110100001111001111110000011100 00000
1100111100111101000111010001111001111110010101100 00000
0011000011111101000110110110000111111110010011100 00000
0111000011111100100110110110000111111110010011100 00000
0111000011111101000110110110000111111110010011100 00000
0011000011111101000110110110000111111110010011100 00000
0111000011111100100110110110000111111110010011100 00000
1111000011111100100110110110000111111110010011100 00000
0011000011111101000110010110000111111010010001100 00000
1011000011111100100110010110000111111010010001100 00000
1100111100111101000110010001111001111010010001100 00000
0100111100111101000111100001111001111110000111100 00000
0100111100111100100111100001111001111110000111100 00000
0000111100111100111101100001111001111010000111011 00000
0000111100111100101001100001111001111100000110001 01000
0000111100111101001001100001111001111100000110001 10000
0100111100111101001001100001111001111100000110001 10000
1100111100111101001001100001111001111100000110001 00000
0100111100111101001000000001111001111000100000001 00000
1100111100111101001000000001111001111000100000001 00000
0111000011111101001001010110000111111101010100001 00000
1011000011111101001001010110000111111101010100001 00000
0011000011111101001000011110000111111001111000001 00000
0111000011111101001000011110000111111001111000001 00000
1111000011111100101000011110000111111001111000001 00000
0000111100111101001001110001111001111101010110001 00000
1100111100111100101001110001111001111101010110001 00000
0111000011111101001000010110000111111001110000001 00000
0011000011111101001000010110000111111001110000001 00000
0111000011111100101000010110000111111001110000001 00000
0011000011111100100010010110000111111001010000100 00000
0011000011111101000010010110000111111001010000100 00100
1111000011111100100010010110000111111001010000100 00100
0011000011111100100000000110000111111000000000000 00000
1011000011111100100000000110000111111000000000000 00001
0111000011111101000001000110000111111100000100000 00000
0011000011111100110001000110000111111000000100010 00000
1111000011111101010001000110000111111000000100010 00001
1100111100111101010000001001111001111001101000010 00000
1111000011111101010000011110000111111001111000010 00000
1111000011111100110000000110000111111000100000010 00000
0111000011111101010001111110000111111101011110010 00000
1011000011111101010001111110000111111101011110010 00000
0000111100111100110110011001111001111000111001110 00000
0000111100111101010110011001111001111000111001110 00010
0000111100111100100110011001111001111000011001100 00010
1000111100111101000110011001111001111000011001100 00001
1000111100111100100111000001111001111110000101100 00000
1100111100111100100111000001111001111110000101100 00000
0011000011111101000111101110000111111110001111100 00000
1011000011111101000111101110000111111110001111100 00000
0011000011111101000111010110000111111110010101100 00000
1011000011111100100111010110000111111110010101100 00000
1000111100111100100111100001111001111110000111100 00000
0011000011111100101000011110000111111001111000001 00000
0011000011111100110110011110000111111000111001110 00010
0011000011111100111010011110000111111001111000111 00010
0011000011111101011010011110000111111001111000111 00010
0011000011111100111100011110000111111001111001011 00010
0011000011111100101000011110000111111001111000001 00010
0111000011111101001000011110000111111001111000001 00010
1111000011111100101000011110000111111001111000001 00000
0011000011111100100100101110000111111110001011000 00000
1011000011111100100100101110000111111110001011000 10000
1100111100111100100100011001111001111001011001000 00000
0011000011111100100011100110000111111110000110100 00000
0011000011111100111101100110000111111010000111011 10000
0011000011111100111101100110000111111010000111011 01000
0111000011111100111101100110000111111010000111011 01000
0011000011111101011101100110000111111010000111011 00000
0011000011111101011101100110000111111010000111011 00000
1111000011111100111101100110000111111010000111011 00000
0100111100111100111100001001111001111010101001011 00000
1100111100111100111100001001111001111010101001011 00000
0111000011111100111100110110000111111000110011011 00000
0011000011111101011100110110000111111000110011011 00000
0011000011111101011100110110000111111000110011011 00000
1111000011111100111100110110000111111000110011011 00000
1111000011111101011101001110000111111010101101011 00000
0011000011111101011100000110000111111010100001011 00000
1011000011111101011100000110000111111010100001011 00000
0011000011111101011100100110000111111010100011011 00000
0011000011111101011100100110000111111010100011011 00000
0111000011111101011100100110000111111010100011011 00000
1011000011111100111100100110000111111010100011011 00000
1111000011111100111100110110000111111000110011011 00000
1111000011111101011100000110000111111010100001011 00000
1111000011111100111101011110000111111001111101011 00000
1100111100111100111101110001111001111000010111011 00000
1000111100111100111101000001111001111010100101011 00000
1011000011111100111101111110000111111001011111011 00000
1100111100111100111101111001111001111001011111011 00000
1111000011111100111100001110000111111010101001011 00000
1111000011111100111101000110000111111010100101011 00000
0011000011111101011100000110000111111010100001011 00000
0111000011111101011100000110000111111010100001011 00000
0011000011111100100100000110000111111010000001000 00000
0011000011111100111000000110000111111000100000011 01000
1011000011111101011000000110000111111000100000011 00010
0100111100111100111001111001111001111001011110011 00000
0100111100111101011001111001111001111001011110011 00000
1000111100111100111001111001111001111001011110011 00000
1011000011111100111000010110000111111001110000011 00000
1100111100111100111000110001111001111001110010011 00000
0100111100111101011001110001111001111001010110011 00000
0000111100111100111101110001111001111000010111011 00000
0100111100111100111101110001111001111000010111011 00001
1000111100111100111101110001111001111000010111011 00000
0111000011111101011100101110000111111010101011011 00000
1111000011111100111100101110000111111010101011011 00000
1011000011111101011101100110000111111010000111011 00000
0000111100111100110011111001111001111101011110110 00000
1100111100111101010011111001111001111101011110110 00100
0111000011111101010010010110000111111001110000110 00000
0011000011111101010010010110000111111001110000110 00000
1111000011111100110010010110000111111001110000110 00000
1011000011111100110011111110000111111101011110110 00000
1000111100111101010011101001111001111100001110110 00000
1111000011111100110011010110000111111001010100110 00000
1000111100111100110011010001111001111001010100110 00000
0111000011111101010010111110000111111001111010110 00000
0011000011111101010010111110000111111001111010110 00000
0011000011111100101100111110000111111001011011001 00000
1011000011111100101100111110000111111001011011001 00100
0100111100111101001100111001111001111001011011001 00000
0000111100111101001100111001111001111001011011001 00000
1100111100111100101100111001111001111001011011001 00000
1000111100111100101101100001111001111110000111001 00000
1111000011111101001100101110000111111010001011001 00000
0011000011111101001101101110000111111110001111001 00000
0011000011111101001101101110000111111110001111001 00000
0111000011111101001101101110000111111110001111001 00000
0111000011111101001101101110000111111110001111001 00000
1111000011111101001101101110000111111110001111001 00000
1100111100111100101100000001111001111010100001001 00000
1100111100111100101101111001111001111101011111001 00000
0011000011111101001100010110000111111000110001001 00000
0011000011111100110010010110000111111001110000110 00000
1111000011111100110010010110000111111001110000110 00010
0100111100111100110010110001111001111001110010110 00000
1000111100111100110010110001111001111001110010110 00000
0100111100111100110010101001111001111000101010110 00000
0100111100111100110010101001111001111000101010110 00000
1100111100111101010010101001111001111000101010110 00000
1000111100111100110010010001111001111001110000110 00000
1000111100111101010010010001111001111001110000110 00000
1111000011111100110010001110000111111000101000110 00000
1100111100111101010010111001111001111001111010110 00000
1100111100111100110010010001111001111001110000110 00000
1000111100111101010011101001111001111100001110110 00000
1100111100111101010011101001111001111100001110110 00000
1100111100111100110011011001111001111001011100110 00000
1011000011111101010010011110000111111001111000110 00000
1011000011111101010011010110000111111001010100110 00000
1111000011111100110010011110000111111001111000110 00000
0111000011111101010010100110000111111010100010110 00000
0111000011111100110010100110000111111010100010110 00000
1111000011111101010010100110000111111010100010110 00000
0100111100111100110011010001111001111001010100110 00000
0000111100111101010011010001111001111001010100110 00000
1000111100111101010011010001111001111001010100110 00000
0000111100111101010010100001111001111010100010110 00000
0000111100111101010010100001111001111010100010110 00000
0100111100111100110010100001111001111010100010110 00000
1000111100111101010010100001111001111010100010110 00000
1011000011111101010010010110000111111001110000110 00000
1011000011111100110010111110000111111001111010110 00000
1111000011111101010010110110000111111001110010110 00000
1111000011111100110011101110000111111100001110110 00000
1000111100111100110010010001111001111001110000110 00000
0011000011111100101111110110000111111110010111101 00000
1011000011111101001111110110000111111110010111101 10000
1100111100111100101111100001111001111110000111101 00000
0000111100111101001110100001111001111010000011101 00000
1100111100111101001110100001111001111010000011101 00000
0000111100111101001111010001111001111110010101101 00000
0000111100111100110001010001111001111001010100010 00000
