rst,empty,[8bits]Rxy_rst,[4bits]Cx_rst,[3bits]flit_id,[4bits]dst_addr,[4bits]cur_addr_rst Nport,Eport,Wport,Sport,Lport
1000111100111101001000011 00000
0000111100111101001000011 00000
1100111100111100101000010 00000
1111000011111101001001011 00000
0111000011111101001001011 00000
1011000011111100101000001 00000
0011000011111101001000001 00000
0111000011111100101000001 00000
1100111100111100101000100 00000
1011000011111101001001001 00000
1000111100111100101000000 00000
0000111100111100101000000 00000
0100111100111100101000000 00010
0000111100111100111110000 00000
1100111100111100111111100 01000
0000111100111101011111100 00000
1111000011111100111110001 00000
1111000011111101011110100 00000
0011000011111100101100100 00000
1111000011111100101101111 01000
1000111100111101001100010 00000
1000111100111101001101011 00000
1111000011111100101101001 00000
0011000011111100111001001 00000
0011000011111100110011001 00010
0111000011111101010011001 00001
1100111100111100110010000 00000
1100111100111100110010111 00000
1111000011111101010011001 00000
1011000011111100110011111 00000
0111000011111101010011111 00000
0011000011111100110101111 00000
0111000011111100110101111 10000
0011000011111101010101111 00000
0111000011111101010101111 00000
0111000011111101010101111 00000
1100111100111100110101110 00000
1000111100111100110100100 00000
0100111100111100110100100 00000
0000111100111100101110100 00000
1011000011111101001110111 01000
0011000011111100100010111 00000
0111000011111101000010111 10000
1011000011111101000010110 00000
0011000011111100110010110 00000
0011000011111101010010110 00010
1111000011111100110010000 00010
1100111100111101010011000 00000
1100111100111101010011010 00000
0100111100111100110011010 00000
0000111100111100101011010 00000
0000111100111100111011010 00100
0100111100111100111011010 00100
1011000011111101011010100 00000
0011000011111100100000100 00000
1011000011111100100001101 10000
1100111100111100100001110 00000
1011000011111100100000001 00000
1111000011111100100001111 00000
1011000011111100100000011 00000
1000111100111100100000000 00000
1100111100111101000001110 00000
1111000011111101000001110 00000
0011000011111101000001110 00000
0011000011111101000001110 00000
1000111100111100100001010 00000
1100111100111101000001001 00000
1011000011111100100001010 00000
0111000011111101000001010 00000
1011000011111100100001000 00000
0011000011111101000001000 00000
0111000011111101000001000 00000
1000111100111101000001010 00000
1111000011111101000000100 00000
0011000011111101000000100 00000
0111000011111101000000100 00000
1100111100111101000000111 00000
0100111100111101000000111 00000
1011000011111100100001001 00000
1100111100111100100001110 00000
1111000011111100100001001 00000
0111000011111101000001001 00000
0111000011111101000001001 00000
0011000011111101000001001 00000
1011000011111100100001001 00000
0111000011111101000001001 00000
0011000011111101000001001 00000
1111000011111100100001001 00000
1000111100111101000000001 00000
1011000011111101000001001 00000
1111000011111100100001110 00000
1100111100111100100001011 00000
0100111100111100100001011 00000
0100111100111101000001011 00000
1000111100111101000001010 00000
1011000011111101000000110 00000
0111000011111100100000110 00000
0011000011111100111110110 00000
1100111100111101011111100 00010
1111000011111101011110110 00000
0011000011111101011110110 00000
0011000011111100101110110 00000
1011000011111100101110110 01000
0011000011111100101100110 00000
1000111100111100101100111 00001
1111000011111101001101111 00000
1111000011111100101101110 00000
0111000011111101001101110 00000
0111000011111101001101110 00000
0011000011111101001101110 00000
1111000011111101001101101 00000
0011000011111101001101101 00000
1011000011111101001101010 00000
0011000011111100100111010 00000
0011000011111101000111010 10000
1100111100111101000110010 10000
1111000011111101000111010 00000
1011000011111100100110001 00000
0111000011111100100110001 00000
0011000011111100101100001 00000
0011000011111101001100001 00010
1100111100111101001101101 00010
0100111100111100101101101 00000
1111000011111100101101110 00000
1100111100111101001101111 00000
0100111100111101001101111 00000
1011000011111100101100011 00000
0111000011111101001100011 00000
1000111100111100101101000 00000
0000111100111100110001000 00000
1011000011111101010001011 00001
0011000011111101010001011 00000
0111000011111100110001011 00000
0111000011111100110001011 00000
0111000011111101010001011 00000
1111000011111100110001010 00000
1100111100111101010001011 00000
1011000011111101010000010 00000
0011000011111101010000010 00000
0111000011111100110000010 00000
0111000011111101010000010 00000
0011000011111101010000010 00000
0011000011111100110100010 00000
0111000011111100110100010 00010
1100111100111101010100110 00000
0100111100111101010100110 00000
0100111100111100110100110 00000
1011000011111100110101000 00000
1000111100111101010100011 00000
0000111100111101010100011 00000
1100111100111101010100101 00000
1000111100111100110100001 00000
1011000011111100110100000 00000
